"gene","beta_age_rna","p_rna","FDR_rna"
"ENSG00000223972.5",0.007191397187916,0.915821345108067,0.942165608946339
"ENSG00000227232.5",0.00439802164652528,0.796516738638917,0.854427872737502
"ENSG00000278267.1",0.0173624739818563,0.977964487160515,NA
"ENSG00000243485.5",0.0656697338258277,0.361281160438897,0.468492206238584
"ENSG00000237613.2",-0.0619825990560634,0.415225155139693,0.522750544015093
"ENSG00000268020.3",-0.0410131006181172,0.394401798165801,0.502324472027534
"ENSG00000240361.1",-0.0542135048641129,0.202013860148409,0.294013027702761
"ENSG00000186092.4",-0.0811294117681453,0.0798681968293581,0.135423747970554
"ENSG00000238009.6",-0.0695607045476707,0.186316534895894,0.2751834672022
"ENSG00000233750.3",-0.0265439706179812,0.631292554026252,0.720279724112596
"ENSG00000268903.1",0.0376363333725196,0.220962241282315,0.316433327445004
"ENSG00000269981.1",0.0834720683048899,0.0111871457661462,0.0248437903530344
"ENSG00000239906.1",0.064139284065009,0.608121525690349,NA
"ENSG00000241860.6",0.119727867822932,0.000240031911351602,0.000793124310857534
"ENSG00000241599.1",-0.0116665760388774,0.978294455707413,NA
"ENSG00000279928.2",-0.0288958164269014,0.632233051236298,0.721174045452485
"ENSG00000279457.4",0.0227074866740565,0.165891142404309,0.249883614514494
"ENSG00000228463.9",0.0981612271034996,0.00141724690529435,0.00395051444890137
"ENSG00000236679.2",-0.0564130917158477,0.34535255341408,0.452094061696603
"ENSG00000236743.1",-0.0105383657767283,0.97626853361762,NA
"ENSG00000236601.2",-0.00874821177697453,0.886288529817442,0.921548909786474
"ENSG00000237094.11",0.156215065434244,1.31323956125067e-09,1.28348554389386e-08
"ENSG00000269732.1",-0.00251059242277762,0.961534338293363,0.974305554524002
"ENSG00000278566.1",-0.0447499654329829,0.312645317282324,0.417573160026044
"ENSG00000233653.3",0.0506184602106965,0.425369377685613,0.532711910499942
"ENSG00000250575.1",0.0387846176093937,0.571064969164385,0.666670042076081
"ENSG00000230021.8",-0.00915698328285518,0.785102310622334,0.845126353045416
"ENSG00000235146.2",0.0142384132245154,0.960084901929104,NA
